& al.	et al.
apiotherapy	apitherapy
absciss layer	abscission layer
amœboid	amoeboid
apparachik	apparatchik
artform	art form
Acoemeti	Acoemetae
ad hocracy	adhocracy
arenonium	arenonium ion
aulnage	alnage
Akhaian	Achaean
av-gas	avgas
abyssus	abyss
adipocire	adipocere
argie bargie	argy-bargy
armour-piercing	armor-piercing
apsaras	apsara
amfetaminil	amphetaminil
ash-bin	ashbin
antiageing	antiaging
abuy	aby
agritech	agrotech
after-burden	afterburthen
antagoniser	antagonizer
aerie	eyrie
archeobatrachian	archaeobatrachian
anteriodorsal	anterodorsal
anti-graft	antigraft
abitur	Abitur
Averroian	Averroean
arm-in-arm	arm in arm
armor-bearer	armorbearer
anchylosis	ankylosis
angio-œdema	angioedema
aLife	A-life}}
antiaging	anti-aging
Abram sham	Abraham sham
antivax	anti-vax
azotaemia	azotemia
anchovetta	anchoveta
attenable	attainable
as of yet	as yet
anthologiser	anthologizer
amourous	amorous
antihypercholesterolaemic	antihypercholesterolemic
Algonkin	Algonquin
aphaeresis	apheresis
adjutant-general	adjutant general
axical	axial
agammaglobulinaemia	agammaglobulinemia
AltGr	Alt Gr
afibrinogenaemic	afibrinogenemic
affulgent	effulgent
archeomagnetism	archaeomagnetism
ackee	akee
ataghan	yataghan
Afrikanderism	Afrikanerism
