boxes someone's ears	box someone's ears
bepurples	bepurple
brain storms	brain storm
brasses	brass
Bobbittizing	Bobbittize
bruxing	brux
buggers	bugger
balderdashing	balderdash
begilds	begild
bastardizing	bastardize
bittest	bite
blethered	blether
backcrossing	backcross
being	be
barbecues	barbecue
BOH	back of house
BOM	byte order mark
belittleth	belittle
BCSM	w:Basic call state model
barbecued	barbecue
BOG	boots on the ground
betrayeth	betray
boxiest	boxy
bellyflopped	bellyflop
busieth	busy
biotreats	biotreat
blonded	blond
bitch-slaps	bitch-slap
bein'	be
beeswaxes	beeswax
buh-bye	bye-bye
boycotted	boycott
beeswaxed	beeswax
breastfeeds	breastfeed
bulletizes	bulletize
bejumbled	bejumble
baldened	balden
blunteth	blunt
bulletized	bulletize
biological-weapon	biological weapon
boorka	burka
brivetting	brivet
Broad.	broadcasting
belched	belch
bepainted	bepaint
babian	baboon
behuing	behue
beckons	beckon
beats to	beat to
belches	belch
beareth	bear
biased	bias
bedighted	bedight
Britpicking	Britpick
backchecking	backcheck
biases	bias
buckets down	bucket down
barbarizes	barbarize
betrimmed	betrim
bleepier	bleepy
burning	burn
barbered	barber
besat	besit
besaw	besee
body surfed	body surf
bristles	bristle
bivouacking	bivouac
betrays	betray
backtrailed	backtrail
behapping	behap
bebays	bebay
bought wolf tickets	buy wolf tickets
bespittled	bespittle
befilming	befilm
burnin'	burning
bioaccumulates	bioaccumulate
bestormed	bestorm
bunds	bund
becudgelling	becudgel
bebeasted	bebeast
bioaccumulated	bioaccumulate
browbeaten	browbeat
babooning	baboon
BLASTed	BLAST
blue jean	blue jeans
bedabbled	bedabble
boomiest	boomy
bumpered	bumper
bassooned	bassoon
bobbars	bobbar
bisected	bisect
beaming	beam
berghed	bergh
biassed	bias
betweeness	betweenness
beswathing	beswathe
bibbles	bibble
beaks	beak
bibbled	bibble
backshoots	backshoot
bocconcino	bocconcini
bewent	bego
bound on equip	bind on equip
blinkering	blinker
batooning	batoon
basened	basen
bluejacked	bluejack
begynne	begin
basenet	bascinet
beworrying	beworry
bumpiest	bumpy
baddest	bad
bonibell	bonnibel
blamestorming	blamestorm
broasting	broast
bethumping	bethump
bestorms	bestorm
brachy	Brachyrhaphis
bicystronic	bicistronic
boozed	booze
bitbucketing	bitbucket
bepeppering	bepepper
boozes	booze
beats down	beat down
blows up	blow up
Barbadosing	Barbados
broader	broad
buttoning up	button up
bescorned	bescorn
bealing	beal
busroute	bus route
buzzin'	buzzing
blearing	blear
begreases	begrease
beshrewing	beshrew
bookkept	bookkeep
berays	beray
branchest	branch
brick walled	brick wall
barding	bard
begreased	begrease
bearing on	bear on
bedoctoring	bedoctor
brawniest	brawny
buzzing	buzz
bravoed	bravo
bordered on	border on
bulged	bulge
bechances	bechance
brewest	brew
bechanced	bechance
brimmed	brim
BCNF	Boyce-Codd normal form
bapped	bap
beclouded	becloud
BCNU	bis-chloroethylnitrosourea
bliking	blike
baulks	baulk
boldly goes where no man has gone before	boldly go where no man has gone before
bluesifies	bluesify
bufodienolide	bufadienolide
begunking	begunk
batching	batch
bluesified	bluesify
being able to	be able to
befitting	befit
breathest	breathe
brogged	brog
beglamoured	beglamour
bejaded	bejade
batted out	bat out
Bremaining	Bremain
birdsits	birdsit
blemished	blemish
bewasting	bewaste
bekens	beken
bogs	bog
becalls	becall
bides	bide
bedumbs	bedumb
bells out	bell out
bided	bide
bonded	bond
blowbangs	blowbang
busticated	busticate
banjoing	banjo
bewailing	bewail
browns	brown
brickfilming	brickfilm
busticates	busticate
boom-boomed	boom-boom
bumping nasties	bump nasties
blotted	blot
begoing	bego
barmiest	barmy
beflayed	beflay
bogof	BOGOF
blacklisting	blacklist
bashed the bishop	bash the bishop
borrage	borage
baptising	baptise
beseemed	beseem
bushiest	bush
bethwacks	bethwack
burled	burl
biofabricated	biofabricate
blowdried	blowdry
backpaddling	backpaddle
blowdries	blowdry
biofabricates	biofabricate
bearproofing	bearproof
brought forth	bring forth
bummed	bum
benefittest	benefit
boomerangs	boomerang
blurring	blur
bodyjacked	bodyjack
bows	bow
bedashed	bedash
billetting	billet
blueing	blue
butt dialing	butt dial
bulliragging	bullirag
bit the bullet	bite the bullet
behooving	behoove
bks.	books
brainfucked	brainfuck
bruvver	brother
buffering	buffer
buggers up	bugger up
blackjacks	blackjack
Buybull	buybull
betweene	between
backreacts	backreact
burnt out	burn out
bouncier	bouncy
begged	beg
bends	bend
blued	blue
blowing away	blow away
BMs	BM
begger	beggar
bulbing	bulb
BMC	black-majority church
blacks	black
BMI	body mass index
BMO	black moving object
blacke	black
blue screen	blue screen of death
batted in	bat in
Batmobiled	Batmobile
bungles	bungle
belied	belie
baled out	bale out
beds out	bed out
bungled	bungle
bumped	bump
betrothed	betroth
breezens	breezen
biggifying	biggify
breeziest	breezy
bitted	bitt
besmooching	besmooch
bestood	bestand
banninated	banninate
burrowed	burrow
bespeeding	bespeed
bleeped	bleep
biphosphanate	biphosphonate
browns out	brown out
bepraises	bepraise
bestudded	bestud
bepraised	bepraise
beglamours	beglamour
birdwatched	birdwatch
bibliographick	bibliographic
bioimpedence	bioimpedance
blowing a fuse	blow a fuse
blags	blag
birdwatches	birdwatch
bloomest	bloom
briskens	brisken
backsighting	backsight
beblasts	beblast
biarchy	diarchy
binge eating	binge eat
birdlimed	birdlime
Brazilian waxing	Brazilian wax
B&H	building
B&M	brick and mortar
birdlimes	birdlime
bewetted	bewet
belting out	belt out
bunkoed	bunko
backscratching	backscratch
brining	brine
bewastes	bewaste
becurtained	becurtain
basicly	basically
begoring	begore
bewasted	bewaste
bhp	brake horsepower
boosed	boose
blacknesse	blackness
behews	behew
batcape	Batcape
bejeweling	bejewel
bats a thousand	bat a thousand
bouncing	bounce
bucklered	buckler
butterflies	butterfly
birrs	birr
boldliest	boldly
balkanizes	balkanize
bustles	bustle
beshrouded	beshroud
balkanized	balkanize
bitchette	bitch
BBA	balanced budget amendment
blunting	blunt
bustled	bustle
bilgiest	bilgy
BlackBerrying	BlackBerry
beguyled	beguyle
burocrat	bureaucrat
beguyles	beguyle
bleachier	bleachy
blended	blend
ballsing	balls
bips	bip
blecks	bleck
backloads	backload
bespirting	bespirt
bluejacking	bluejack
bidden	bide
beams	beam
banned	ban
beblest	bebless
books it	book it
becudgeled	becudgel
Bn.	bassoon
bezaunt	bezant
besoming	besom
besteals	besteal
bleepiest	bleepy
bromating	bromate
belled	bell
beducks	beduck
banking	bank
blossoms	blossom
brass-necked	brass-neck
breading	bread
bundling	bundle
bandying around	bandy around
browzes	browze
besighs	besigh
bears in with	bear in with
boggiest	boggy
browzed	browze
buttwelded	buttweld
boxhauled	boxhaul
bone-marrow	bone marrow
bedunged	bedung
biotransformed	biotransform
brabbling	brabble
bespirted	bespirt
begnaws	begnaw
boards out	board out
buoys	buoy
brewing	brew
ballistæ	ballista
begnawn	begnaw
blousiest	blousy
blurbed	blurb
bemocked	bemock
bites the bullet	bite the bullet
burn-baited	burn-beat
befreeing	befree
bethralls	bethrall
bejeweled	bejewel
backing up	back up
bely	belie
builder's	builder's tea
basepaired	basepair
bluescreened	bluescreen
bissextile	leap year
blebbed	bleb
bloops	bloop
backtiming	backtime
brocades	brocade
basifying	basify
budges	budge
bwoys	boys
brocaded	brocade
broken the ice	break the ice
basilling	basil
budged	budge
bespangling	bespangle
backing	back
bulk billing	bulk bill
byefe	beef
binding	bind
bawdier	bawdy
backake	backache
busted a nut	bust a nut
bespotted	bespot
bethanking	bethank
brusker	brusk
bowed and scraped	bow and scrape
billeting	billet
barned	barn
bycicle	bicycle
birthed	birth
biomagnifying	biomagnify
beloading	beload
briefest	brief
burglaring	burglar
bouffed	bouffe
bescraping	bescrape
buzzeth	buzz
bawls	bawl
boxes the compass	box the compass
blown up someone's phone	blow up someone's phone
breaks bread	break bread
biographied	biography
bachs	bach
back-channeled	back-channel
benothinged	benothing
bemourns	bemourn
BLIS	blind spot information system
bedropt	bedrop
bedrops	bedrop
blacke sanctus	black sanctus
befuddles	befuddle
brutalism	Brutalism
bandlimitness	bandlimitedness
blue-skied	blue-sky
becomes one flesh	become one flesh
banalising	banalise
bellyaches	bellyache
bewhispered	bewhisper
babyworn	babywear
Birminghamising	Birminghamise
blowtorching	blowtorch
babywore	babywear
bepowders	bepowder
bespewing	bespew
barricading	barricade
blattered	blatter
bushwacks	bushwack
barriered	barrier
befrozen	befreeze
bruited	bruit
balls	ball
backscratches	backscratch
bedancing	bedance
beaten as one	beat as one
bereftest	bereave
behappened	behappen
becharms	becharm
brivetted	brivet
bousy	boozy
bungs	bung
broggles	broggle
broggled	broggle
bloatiest	bloaty
bd	boulevard
bf	boldface
bg	background
bb	baby
bn	brand new
bj	blow job
bk	bad kid
bt	but
bu	bushel
bw	birth weight
bp	basis point
biofiltering	biofilter
brake testing	brake test
beveiled	beveil
breasted	breast
besoms	besom
bookmatches	bookmatch
barocycles	barocycle
beatboxing	beatbox
BPaaS	business
bookmatched	bookmatch
brings up short	bring up short
barocycled	barocycle
besonged	besong
bourgeoisifies	bourgeoisify
betrayest	betray
BKN	broken
bargaining	bargain
biol	biology
bulletinized	bulletinize
beating off	beat off
bourgeoisified	bourgeoisify
Bates numbering	Bates number
bridesmaids	bridesmaid
becrawls	becrawl
bulletinizes	bulletinize
bass cliff	bass clef
brute forced	brute force
butters	butter
brute forces	brute force
believedst	believe
botanizing	botanize
begays	begay
blacketh	black
burrows	burrow
bio.	biography
blunging	blunge
bewigging	bewig
biofabricating	biofabricate
befied	befie
betid	betide
belloweth	bellow
beskirted	beskirt
breastapo	Breastapo
beating around the bush	beat around the bush
bedhopping	bedhop
bipartison	bipartisan
blood-type	blood type
beagling	beagle
beblistering	beblister
bussing	buss
bosoming	bosom
battier	batty
bowdlerising	bowdlerise
battening	batten
BOE	barrel of oil equivalent
bedeviled	bedevil
bobbitize	Bobbittize
barkled	barkle
buzziest	buzzy
BLAST	blast
bibblebabbled	bibblebabble
backchatting	backchat
befrosts	befrost
bites off	bite off
blunderbussing	blunderbuss
bibblebabbles	bibblebabble
besteads	bestead
bewraid	bewrayed
befilthing	befilth
burgler	burglar
burgles	burgle
backreferencing	backreference
betining	betine
burgled	burgle
book-signing	book signing
bought time	buy time
booted out	boot out
bejuggling	bejuggle
bunnian	bunion
BNWT	brand new with tags
bit off	bite off
bemusing	bemuse
bemoans	bemoan
blaspheming	blaspheme
bolshevizing	bolshevize
backshadowing	backshadow
buzz-bombing	buzz-bomb
benumbing	benumb
beriming	berime
Bangalores	Bangalore
Bangalored	Bangalore
bird-dogs	bird-dog
blegged	bleg
blandishes	blandish
blown away	blow away
bouncable	bounceable
blandished	blandish
bespattering	bespatter
bingeing	binge
biographised	biographise
banana split	bullshit
bedhops	bedhop
biographises	biographise
bookkeeping	bookkeep
buffered	buffer
bodybuilds	bodybuild
beautie	beauty
blightening	blighten
bird-dogged	bird-dog
blockiest	blocky
bloweth	blow
binged	binge
blubbered	blubber
bastarded	bastard
binges	binge
boogieing	boogie
bastinading	bastinade
bobbing	bob
babs	bab
bubbing	bub
borning	born
bookmarks	bookmark
bauchles	bauchle
biggening	biggen
benefitting	benefit
bauchled	bauchle
bodyblocking	bodyblock
bibliophil	bibliophile
bestrown	bestrew
brick walling	brick wall
begreasing	begrease
back-burnered	back-burner
biggifies	biggify
battereth	batter
bowlderised	bowdlerised
beckoned	beckon
biggified	biggify
blvd	boulevard
